Order ID,Order Date,City,Customer Gender,Customer Age,Product Category,Product Name,Quantity Sold,Original Price (INR),Discount Percentage,Selling Price (INR),Total Revenue (INR),Cost Per Unit (INR),Profit (INR),Payment Method,Returned,Customer Rating
ORD-0013,2024-06-03,Bangalore,Male,56,Sports & Fitness,Dumbbells,1,2199,5,2089.05,2089.05,1154.0,935.05,UPI,No,1
ORD-0014,2024-01-07,Delhi,Male,64,Groceries,Cooking Oil,2,189,0,189.0,378.0,118.24,141.52,Cash,No,5
ORD-0015,2023-05-09,Kolkata,Male,52,Clothing,Jacket,2,2499,20,1999.2,3998.4,1257.03,1484.34,Debit Card,No,4
ORD-0016,2024-01-18,Chennai,Male,39,Home & Kitchen,Water Bottle,1,399,15,339.15,339.15,189.21,149.94,Credit Card,No,2
ORD-0017,2023-08-14,Chennai,Male,20,Electronics,Smartphone,1,18999,25,14249.25,14249.25,10947.62,3301.63,UPI,No,2
ORD-0018,2023-10-13,Ahmedabad,Male,48,Home & Kitchen,Mixer Grinder,1,3499,20,2799.2,2799.2,1667.14,1132.06,Cash,No,1
ORD-0019,2024-03-17,Mumbai,Male,21,Groceries,Tea Powder,4,299,15,254.15,1016.6,186.21,271.76,Cash,No,1
ORD-0020,2023-09-12,Bangalore,Female,47,Clothing,Jeans,4,1299,20,1039.2,4156.8,620.97,1672.92,Debit Card,No,1
ORD-0021,2024-03-29,Mumbai,Male,33,Sports & Fitness,Yoga Mat,1,799,0,799.0,799.0,463.76,335.24,Debit Card,No,4
ORD-0022,2023-08-07,Kolkata,Female,47,Home & Kitchen,Pressure Cooker,1,1899,5,1804.05,1804.05,998.48,805.57,UPI,No,5
ORD-0023,2024-05-13,Mumbai,Female,21,Clothing,Jeans,2,1299,10,1169.1,2338.2,836.22,665.76,Credit Card,No,5
ORD-0024,2024-06-27,Delhi,Male,61,Clothing,T-Shirt,1,599,20,479.2,479.2,371.54,107.66,Debit Card,No,5
ORD-0025,2023-09-10,Kolkata,Female,34,Sports & Fitness,Skipping Rope,1,299,0,299.0,299.0,171.59,127.41,Debit Card,No,3
ORD-0026,2023-09-02,Delhi,Male,47,Groceries,Tea Powder,3,299,5,284.05,852.15,161.89,366.48,EMI,No,1
ORD-0027,2023-03-17,Pune,Male,33,Sports & Fitness,Dumbbells,1,2199,20,1759.2,1759.2,1106.19,653.01,UPI,No,4
ORD-0028,2023-11-06,Hyderabad,Male,26,Sports & Fitness,Skipping Rope,1,299,0,299.0,299.0,174.49,124.51,UPI,No,1
ORD-0029,2023-06-09,Chennai,Female,50,Groceries,Biscuits Pack,2,79,20,63.2,126.4,46.89,32.62,Cash,No,1
ORD-0030,2023-04-05,Bangalore,Female,28,Home & Kitchen,Bed Sheet Set,1,999,0,999.0,999.0,450.26,548.74,Cash,No,4
ORD-0031,2023-01-10,Mumbai,Female,55,Electronics,Smartphone,1,18999,25,14249.25,14249.25,11984.3,2264.95,EMI,No,2
ORD-0032,2023-02-12,Chennai,Male,40,Groceries,Biscuits Pack,3,79,0,79.0,237.0,38.87,120.39,EMI,No,4
ORD-0033,2023-06-08,Pune,Female,60,Clothing,Jeans,4,1299,5,1234.05,4936.2,590.99,2572.24,Debit Card,No,1
ORD-0034,2024-01-27,Ahmedabad,Female,37,Electronics,Smartwatch,1,8999,5,8549.05,8549.05,4408.74,4140.31,Debit Card,No,2
ORD-0035,2024-02-13,Kolkata,Female,19,Groceries,Biscuits Pack,3,79,0,79.0,237.0,41.1,113.7,Credit Card,No,3
ORD-0036,2023-07-02,Kolkata,Female,64,Sports & Fitness,Running Shoes,1,2999,0,2999.0,2999.0,1414.57,1584.43,UPI,No,5
ORD-0037,2023-04-29,Kolkata,Male,51,Home & Kitchen,Water Bottle,1,399,5,379.05,379.05,199.88,179.17,EMI,No,2
ORD-0038,2024-01-08,Pune,Male,64,Home & Kitchen,Pressure Cooker,1,1899,25,1424.25,1424.25,1204.26,219.99,UPI,No,4
ORD-0039,2023-12-01,Kolkata,Female,61,Home & Kitchen,Bed Sheet Set,1,999,20,799.2,799.2,474.98,324.22,Debit Card,No,3
ORD-0040,2024-02-20,Kolkata,Female,47,Sports & Fitness,Yoga Mat,1,799,10,719.1,719.1,405.4,313.7,Cash,No,2
ORD-0041,2024-06-07,Pune,Male,33,Home & Kitchen,Mixer Grinder,1,3499,25,2624.25,2624.25,1633.89,990.36,UPI,No,2
ORD-0042,2023-05-31,Delhi,Female,44,Electronics,Smartphone,1,18999,5,18049.05,18049.05,12288.31,5760.74,EMI,No,4
ORD-0043,2024-05-21,Mumbai,Male,45,Home & Kitchen,Mixer Grinder,1,3499,5,3324.05,3324.05,2033.66,1290.39,Debit Card,No,5
ORD-0044,2024-04-20,Delhi,Female,26,Electronics,Tablet,1,24999,5,23749.05,23749.05,15836.72,7912.33,Cash,No,5
ORD-0045,2023-11-21,Kolkata,Female,28,Home & Kitchen,Water Bottle,1,399,25,299.25,299.25,250.73,48.52,Cash,No,2
ORD-0046,2023-10-11,Ahmedabad,Male,63,Sports & Fitness,Protein Powder,1,1999,25,1499.25,1499.25,995.2,504.05,UPI,No,3
ORD-0047,2023-11-24,Kolkata,Male,63,Sports & Fitness,Yoga Mat,1,799,5,759.05,759.05,383.65,375.4,Debit Card,Yes,4
ORD-0048,2023-12-05,Kolkata,Female,55,Sports & Fitness,Protein Powder,1,1999,15,1699.15,1699.15,924.44,774.71,Credit Card,No,5
ORD-0049,2024-01-25,Kolkata,Female,52,Home & Kitchen,Pressure Cooker,1,1899,10,1709.1,1709.1,967.96,741.14,EMI,No,2
ORD-0050,2024-05-14,Pune,Female,64,Clothing,Dress,4,1599,15,1359.15,5436.6,728.83,2521.28,Debit Card,No,2
ORD-0051,2024-06-30,Mumbai,Male,59,Electronics,Smartwatch,1,8999,20,7199.2,7199.2,5065.34,2133.86,Cash,No,4
ORD-0052,2023-07-06,Ahmedabad,Female,39,Electronics,Headphones,1,2999,15,2549.15,2549.15,1545.9,1003.25,Cash,No,4
ORD-0053,2023-09-16,Mumbai,Female,32,Electronics,Smartwatch,1,8999,0,8999.0,8999.0,5397.64,3601.36,Credit Card,No,1
ORD-0054,2023-02-01,Ahmedabad,Male,54,Clothing,Jeans,2,1299,0,1299.0,2598.0,646.52,1304.96,Debit Card,No,3
ORD-0055,2024-01-13,Bangalore,Female,24,Clothing,Shoes,1,1999,20,1599.2,1599.2,1210.51,388.69,EMI,Yes,3
ORD-0056,2024-01-20,Chennai,Male,62,Home & Kitchen,Mixer Grinder,1,3499,0,3499.0,3499.0,1988.9,1510.1,UPI,No,5
ORD-0057,2023-05-04,Pune,Male,50,Sports & Fitness,Yoga Mat,1,799,10,719.1,719.1,444.68,274.42,UPI,Yes,4
ORD-0058,2024-05-16,Ahmedabad,Male,45,Electronics,Smartwatch,1,8999,10,8099.1,8099.1,5193.48,2905.62,Debit Card,No,3
ORD-0059,2024-05-10,Pune,Male,23,Home & Kitchen,Curtains,1,1499,25,1124.25,1124.25,852.17,272.08,UPI,No,2
ORD-0060,2024-04-20,Mumbai,Female,38,Sports & Fitness,Skipping Rope,1,299,25,224.25,224.25,157.21,67.04,Debit Card,No,3
ORD-0061,2023-09-22,Chennai,Male,33,Groceries,Biscuits Pack,3,79,20,63.2,189.6,44.33,56.61,Cash,No,2
ORD-0062,2024-05-02,Chennai,Female,62,Home & Kitchen,Curtains,1,1499,0,1499.0,1499.0,702.45,796.55,Debit Card,No,5
ORD-0063,2024-01-13,Pune,Female,62,Home & Kitchen,Water Bottle,1,399,20,319.2,319.2,206.98,112.22,Cash,No,3
ORD-0064,2023-08-25,Bangalore,Male,31,Electronics,Laptop,1,54999,10,49499.1,49499.1,26064.63,23434.47,Cash,No,5
ORD-0065,2024-06-21,Hyderabad,Male,41,Sports & Fitness,Running Shoes,1,2999,0,2999.0,2999.0,1848.96,1150.04,Debit Card,No,5
ORD-0066,2023-05-10,Bangalore,Female,24,Groceries,Rice (5kg),3,349,0,349.0,1047.0,205.73,429.81,Credit Card,No,4
ORD-0067,2024-05-05,Hyderabad,Female,25,Home & Kitchen,Bed Sheet Set,1,999,5,949.05,949.05,642.46,306.59,Credit Card,No,1
ORD-0068,2023-02-24,Chennai,Male,53,Clothing,Jeans,3,1299,20,1039.2,3117.6,606.68,1297.56,Cash,No,5
ORD-0069,2023-08-20,Hyderabad,Female,37,Sports & Fitness,Protein Powder,1,1999,15,1699.15,1699.15,1262.77,436.38,EMI,No,5
ORD-0070,2023-04-12,Bangalore,Male,28,Clothing,Jeans,1,1299,10,1169.1,1169.1,625.35,543.75,Credit Card,No,5
ORD-0071,2024-04-26,Ahmedabad,Male,61,Groceries,Rice (5kg),3,349,5,331.55,994.65,206.4,375.45,Debit Card,No,5
ORD-0072,2023-07-22,Bangalore,Female,27,Home & Kitchen,Pressure Cooker,1,1899,20,1519.2,1519.2,939.93,579.27,Credit Card,Yes,3
ORD-0073,2023-10-23,Kolkata,Female,50,Home & Kitchen,Pressure Cooker,1,1899,15,1614.15,1614.15,1116.11,498.04,EMI,No,1
ORD-0074,2023-02-10,Delhi,Male,61,Home & Kitchen,Bed Sheet Set,1,999,20,799.2,799.2,499.57,299.63,EMI,No,1
ORD-0075,2023-10-03,Ahmedabad,Female,29,Sports & Fitness,Yoga Mat,1,799,5,759.05,759.05,434.74,324.31,EMI,No,4
ORD-0076,2023-04-04,Delhi,Male,39,Home & Kitchen,Bed Sheet Set,1,999,15,849.15,849.15,516.15,333.0,Cash,No,3
ORD-0077,2024-02-15,Hyderabad,Female,25,Sports & Fitness,Yoga Mat,1,799,15,679.15,679.15,373.62,305.53,Cash,No,1
ORD-0078,2024-04-18,Ahmedabad,Female,21,Home & Kitchen,Pressure Cooker,1,1899,5,1804.05,1804.05,1051.45,752.6,Debit Card,No,2
ORD-0079,2023-10-22,Chennai,Male,37,Home & Kitchen,Curtains,1,1499,0,1499.0,1499.0,683.21,815.79,EMI,Yes,4
ORD-0080,2023-04-06,Bangalore,Female,63,Clothing,T-Shirt,1,599,15,509.15,509.15,347.15,162.0,UPI,No,3
ORD-0081,2024-03-01,Bangalore,Female,30,Home & Kitchen,Curtains,1,1499,5,1424.05,1424.05,811.49,612.56,EMI,No,2
ORD-0082,2023-03-13,Hyderabad,Female,55,Groceries,Tea Powder,3,299,10,269.1,807.3,183.62,256.44,EMI,No,4
ORD-0083,2023-06-02,Kolkata,Female,38,Home & Kitchen,Water Bottle,1,399,15,339.15,339.15,207.09,132.06,Debit Card,No,2
ORD-0084,2024-01-28,Kolkata,Female,60,Clothing,Jacket,3,2499,0,2499.0,7497.0,1496.75,3006.75,Debit Card,No,1
ORD-0085,2023-05-10,Ahmedabad,Male,51,Sports & Fitness,Skipping Rope,1,299,10,269.1,269.1,186.56,82.54,Cash,Yes,2
ORD-0086,2024-02-24,Kolkata,Male,39,Clothing,T-Shirt,3,599,15,509.15,1527.45,310.11,597.12,EMI,No,3
ORD-0087,2024-05-14,Hyderabad,Male,65,Sports & Fitness,Yoga Mat,1,799,20,639.2,639.2,370.48,268.72,Credit Card,No,1
ORD-0088,2023-04-13,Mumbai,Male,38,Home & Kitchen,Mixer Grinder,1,3499,25,2624.25,2624.25,1784.12,840.13,Credit Card,No,3
ORD-0089,2024-03-17,Bangalore,Male,29,Clothing,Jeans,4,1299,20,1039.2,4156.8,731.58,1230.48,Credit Card,No,4
ORD-0090,2023-09-04,Hyderabad,Female,34,Home & Kitchen,Water Bottle,1,399,5,379.05,379.05,198.08,180.97,Credit Card,No,4
ORD-0091,2023-10-22,Pune,Female,58,Sports & Fitness,Dumbbells,1,2199,0,2199.0,2199.0,1183.82,1015.18,Cash,No,4
ORD-0092,2023-11-06,Pune,Female,62,Clothing,Jacket,1,2499,15,2124.15,2124.15,1243.11,881.04,UPI,Yes,4
ORD-0093,2023-10-09,Mumbai,Female,36,Electronics,Tablet,1,24999,25,18749.25,18749.25,15140.95,3608.3,Debit Card,No,3
ORD-0094,2023-08-13,Mumbai,Female,46,Clothing,Shoes,2,1999,10,1799.1,3598.2,1150.72,1296.76,Credit Card,No,2
ORD-0095,2023-04-03,Bangalore,Female,51,Groceries,Biscuits Pack,4,79,25,59.25,237.0,38.33,83.68,EMI,No,2
ORD-0096,2023-09-21,Delhi,Female,22,Home & Kitchen,Bed Sheet Set,1,999,25,749.25,749.25,623.46,125.79,Debit Card,No,2
ORD-0097,2024-02-11,Mumbai,Female,52,Sports & Fitness,Running Shoes,1,2999,0,2999.0,2999.0,1823.8,1175.2,Credit Card,No,3
ORD-0098,2024-01-26,Pune,Male,59,Groceries,Rice (5kg),2,349,25,261.75,523.5,189.96,143.58,Credit Card,No,4
ORD-0099,2023-11-06,Mumbai,Female,49,Home & Kitchen,Pressure Cooker,1,1899,5,1804.05,1804.05,871.77,932.28,Credit Card,No,5
ORD-0100,2023-05-19,Kolkata,Male,44,Home & Kitchen,Curtains,1,1499,10,1349.1,1349.1,875.56,473.54,Credit Card,No,5
ORD-0101,2024-02-22,Ahmedabad,Male,41,Groceries,Rice (5kg),3,349,25,261.75,785.25,172.22,268.59,Credit Card,No,3
ORD-0102,2024-01-03,Delhi,Female,23,Electronics,Smartwatch,1,8999,10,8099.1,8099.1,4391.17,3707.93,Debit Card,No,5
ORD-0103,2023-01-22,Chennai,Male,53,Electronics,Headphones,1,2999,5,2849.05,2849.05,1942.64,906.41,Debit Card,No,2
ORD-0104,2023-12-03,Bangalore,Male,52,Clothing,Shoes,3,1999,0,1999.0,5997.0,1242.74,2268.78,UPI,No,1
ORD-0105,2023-01-27,Mumbai,Male,34,Clothing,T-Shirt,2,599,10,539.1,1078.2,340.09,398.02,Credit Card,No,4
ORD-0106,2024-06-22,Pune,Male,46,Electronics,Smartphone,1,18999,15,16149.15,16149.15,10252.91,5896.24,EMI,No,5
ORD-0107,2023-02-14,Mumbai,Male,48,Sports & Fitness,Running Shoes,1,2999,15,2549.15,2549.15,1735.43,813.72,Cash,No,1
ORD-0108,2024-05-17,Bangalore,Male,26,Home & Kitchen,Pressure Cooker,1,1899,0,1899.0,1899.0,976.89,922.11,UPI,No,5
ORD-0109,2023-11-29,Kolkata,Male,62,Home & Kitchen,Water Bottle,1,399,20,319.2,319.2,203.08,116.12,Credit Card,No,5
ORD-0110,2023-08-09,Ahmedabad,Female,44,Home & Kitchen,Curtains,1,1499,5,1424.05,1424.05,798.61,625.44,Credit Card,No,3
ORD-0111,2023-09-19,Delhi,Male,45,Groceries,Cooking Oil,4,189,25,141.75,567.0,87.59,216.64,Credit Card,No,3
ORD-0112,2023-05-14,Pune,Male,44,Sports & Fitness,Yoga Mat,1,799,20,639.2,639.2,512.42,126.78,UPI,No,4
ORD-0113,2023-02-22,Chennai,Male,60,Groceries,Atta (10kg),3,399,10,359.1,1077.3,187.82,513.84,Cash,No,1
ORD-0114,2023-12-25,Chennai,Female,53,Sports & Fitness,Running Shoes,1,2999,0,2999.0,2999.0,1806.96,1192.04,EMI,No,5
ORD-0115,2023-01-27,Hyderabad,Female,40,Sports & Fitness,Running Shoes,1,2999,0,2999.0,2999.0,1457.76,1541.24,Credit Card,No,2
ORD-0116,2024-02-15,Mumbai,Male,65,Electronics,Laptop,1,54999,25,41249.25,41249.25,31714.32,9534.93,EMI,No,4
ORD-0117,2024-04-09,Delhi,Male,27,Groceries,Cooking Oil,3,189,10,170.1,510.3,112.33,173.31,Debit Card,No,1
ORD-0118,2023-03-25,Ahmedabad,Female,35,Groceries,Tea Powder,4,299,25,224.25,897.0,163.59,242.64,Debit Card,No,1
ORD-0119,2023-12-20,Ahmedabad,Female,20,Home & Kitchen,Pressure Cooker,1,1899,10,1709.1,1709.1,1112.14,596.96,Debit Card,No,5
ORD-0120,2023-02-26,Bangalore,Female,36,Electronics,Laptop,1,54999,10,49499.1,49499.1,35147.93,14351.17,UPI,No,4
ORD-0121,2024-03-16,Pune,Male,43,Clothing,Jeans,2,1299,15,1104.15,2208.3,714.52,779.26,Credit Card,No,4
ORD-0122,2023-03-21,Kolkata,Female,25,Groceries,Atta (10kg),4,399,15,339.15,1356.6,236.17,411.92,Cash,Yes,3
ORD-0123,2023-06-25,Delhi,Female,24,Sports & Fitness,Protein Powder,1,1999,25,1499.25,1499.25,1267.27,231.98,Debit Card,No,4
ORD-0124,2024-06-20,Chennai,Female,28,Electronics,Smartwatch,1,8999,10,8099.1,8099.1,5391.85,2707.25,Credit Card,No,1
ORD-0125,2024-06-27,Bangalore,Male,24,Sports & Fitness,Dumbbells,1,2199,10,1979.1,1979.1,1143.96,835.14,Debit Card,No,2
ORD-0126,2023-06-06,Ahmedabad,Female,58,Electronics,Laptop,1,54999,25,41249.25,41249.25,30184.74,11064.51,UPI,No,1
ORD-0127,2024-04-25,Pune,Male,37,Home & Kitchen,Bed Sheet Set,1,999,10,899.1,899.1,567.72,331.38,Cash,No,1
ORD-0128,2024-01-13,Kolkata,Female,55,Groceries,Rice (5kg),1,349,25,261.75,261.75,199.98,61.77,EMI,No,1
ORD-0129,2024-04-05,Bangalore,Male,46,Sports & Fitness,Dumbbells,1,2199,10,1979.1,1979.1,1255.63,723.47,Credit Card,No,3
ORD-0130,2023-03-28,Ahmedabad,Female,51,Sports & Fitness,Dumbbells,1,2199,0,2199.0,2199.0,1098.51,1100.49,EMI,No,3
ORD-0131,2024-01-17,Mumbai,Female,22,Groceries,Tea Powder,3,299,15,254.15,762.45,175.15,237.0,UPI,No,4
ORD-0132,2023-10-18,Bangalore,Female,37,Groceries,Atta (10kg),3,399,5,379.05,1137.15,186.05,579.0,Cash,No,1
ORD-0133,2023-11-14,Bangalore,Male,59,Sports & Fitness,Protein Powder,1,1999,25,1499.25,1499.25,1216.06,283.19,Cash,No,1
ORD-0134,2024-01-07,Ahmedabad,Male,32,Groceries,Cooking Oil,3,189,5,179.55,538.65,120.87,176.04,Debit Card,No,3
ORD-0135,2023-04-14,Mumbai,Female,57,Sports & Fitness,Skipping Rope,1,299,25,224.25,224.25,187.39,36.86,Debit Card,No,2
ORD-0136,2023-06-16,Pune,Male,46,Clothing,Shoes,4,1999,5,1899.05,7596.2,917.02,3928.12,EMI,No,4
ORD-0137,2023-08-28,Ahmedabad,Male,41,Sports & Fitness,Dumbbells,1,2199,10,1979.1,1979.1,1414.22,564.88,EMI,No,4
ORD-0138,2023-10-16,Bangalore,Male,56,Home & Kitchen,Water Bottle,1,399,20,319.2,319.2,212.96,106.24,Debit Card,No,1
ORD-0139,2024-05-07,Bangalore,Female,46,Groceries,Atta (10kg),1,399,0,399.0,399.0,202.3,196.7,EMI,No,4
ORD-0140,2023-04-04,Kolkata,Female,33,Clothing,Jacket,1,2499,10,2249.1,2249.1,1331.92,917.18,Cash,No,3
ORD-0141,2023-08-18,Pune,Male,26,Electronics,Headphones,1,2999,0,2999.0,2999.0,1852.89,1146.11,Credit Card,No,4
ORD-0142,2023-05-23,Delhi,Male,34,Home & Kitchen,Curtains,1,1499,20,1199.2,1199.2,676.12,523.08,Debit Card,No,5
ORD-0143,2024-06-24,Delhi,Male,33,Home & Kitchen,Pressure Cooker,1,1899,10,1709.1,1709.1,944.81,764.29,Cash,No,5
ORD-0144,2024-04-13,Mumbai,Male,63,Electronics,Smartphone,1,18999,15,16149.15,16149.15,10817.04,5332.11,Debit Card,No,1
ORD-0145,2023-12-28,Delhi,Female,22,Clothing,Shoes,2,1999,15,1699.15,3398.3,1165.17,1067.96,EMI,No,5
ORD-0146,2023-01-21,Pune,Female,65,Home & Kitchen,Curtains,1,1499,0,1499.0,1499.0,865.12,633.88,Credit Card,No,1
ORD-0147,2023-12-20,Pune,Female,59,Clothing,T-Shirt,3,599,20,479.2,1437.6,285.53,581.01,Debit Card,No,4
ORD-0148,2024-05-05,Chennai,Male,30,Clothing,Jeans,4,1299,0,1299.0,5196.0,594.16,2819.36,Credit Card,No,3
ORD-0149,2024-06-11,Chennai,Female,40,Home & Kitchen,Water Bottle,1,399,15,339.15,339.15,199.76,139.39,Credit Card,No,3
ORD-0150,2023-10-07,Ahmedabad,Female,39,Electronics,Headphones,1,2999,15,2549.15,2549.15,1883.06,666.09,Debit Card,No,4
ORD-0151,2024-01-12,Delhi,Female,56,Sports & Fitness,Running Shoes,1,2999,0,2999.0,2999.0,1785.65,1213.35,Debit Card,No,3
ORD-0152,2023-04-16,Ahmedabad,Female,28,Electronics,Headphones,1,2999,25,2249.25,2249.25,1526.87,722.38,Cash,No,1
ORD-0153,2023-12-28,Mumbai,Male,60,Sports & Fitness,Protein Powder,1,1999,10,1799.1,1799.1,1155.21,643.89,Cash,No,2
ORD-0154,2023-02-01,Delhi,Male,59,Clothing,Shoes,4,1999,25,1499.25,5997.0,913.46,2343.16,UPI,No,5
ORD-0155,2023-02-03,Pune,Female,46,Sports & Fitness,Dumbbells,1,2199,25,1649.25,1649.25,1187.43,461.82,Credit Card,No,5
ORD-0156,2024-01-11,Delhi,Male,65,Home & Kitchen,Bed Sheet Set,1,999,25,749.25,749.25,505.23,244.02,Debit Card,No,4
ORD-0157,2023-05-01,Hyderabad,Female,30,Groceries,Biscuits Pack,4,79,25,59.25,237.0,38.94,81.24,Credit Card,No,1
ORD-0158,2024-04-07,Delhi,Female,37,Clothing,Jacket,3,2499,0,2499.0,7497.0,1458.34,3121.98,Debit Card,No,2
ORD-0159,2024-01-06,Bangalore,Male,49,Sports & Fitness,Dumbbells,1,2199,0,2199.0,2199.0,1422.81,776.19,Credit Card,No,5
ORD-0160,2024-01-13,Delhi,Male,37,Home & Kitchen,Water Bottle,1,399,5,379.05,379.05,228.38,150.67,Cash,No,4
ORD-0161,2024-06-22,Pune,Male,46,Home & Kitchen,Curtains,1,1499,20,1199.2,1199.2,696.66,502.54,Cash,No,3
ORD-0162,2023-05-12,Bangalore,Female,50,Sports & Fitness,Skipping Rope,1,299,5,284.05,284.05,180.46,103.59,Credit Card,No,5
ORD-0163,2023-06-06,Chennai,Female,51,Groceries,Cooking Oil,3,189,5,179.55,538.65,120.38,177.51,UPI,No,3
ORD-0164,2023-07-21,Delhi,Male,55,Sports & Fitness,Running Shoes,1,2999,5,2849.05,2849.05,1724.44,1124.61,EMI,No,5
ORD-0165,2023-12-12,Hyderabad,Male,54,Sports & Fitness,Yoga Mat,1,799,0,799.0,799.0,372.53,426.47,Cash,No,1
ORD-0166,2024-05-24,Ahmedabad,Male,61,Sports & Fitness,Running Shoes,1,2999,25,2249.25,2249.25,1923.35,325.9,Cash,No,1
ORD-0167,2023-03-03,Pune,Male,38,Clothing,Jacket,4,2499,15,2124.15,8496.6,1356.68,3069.88,UPI,No,3
ORD-0168,2024-02-13,Ahmedabad,Male,35,Clothing,Dress,1,1599,20,1279.2,1279.2,821.6,457.6,Cash,No,1
ORD-0169,2023-02-21,Bangalore,Female,54,Groceries,Tea Powder,4,299,20,239.2,956.8,149.4,359.2,UPI,No,2
ORD-0170,2024-05-25,Ahmedabad,Male,23,Sports & Fitness,Protein Powder,1,1999,15,1699.15,1699.15,1251.0,448.15,Cash,No,2
ORD-0171,2023-08-09,Ahmedabad,Female,36,Sports & Fitness,Running Shoes,1,2999,0,2999.0,2999.0,1379.86,1619.14,EMI,Yes,1
ORD-0172,2024-03-17,Pune,Male,43,Clothing,Dress,3,1599,25,1199.25,3597.75,963.83,706.26,Credit Card,No,2
ORD-0173,2024-01-07,Ahmedabad,Female,57,Sports & Fitness,Running Shoes,1,2999,0,2999.0,2999.0,1581.28,1417.72,EMI,No,1
ORD-0174,2024-02-08,Chennai,Female,50,Groceries,Biscuits Pack,3,79,20,63.2,189.6,47.48,47.16,Credit Card,Yes,2
ORD-0175,2023-12-08,Bangalore,Female,57,Home & Kitchen,Water Bottle,1,399,15,339.15,339.15,191.44,147.71,UPI,No,5
ORD-0176,2023-11-03,Ahmedabad,Female,48,Sports & Fitness,Running Shoes,1,2999,20,2399.2,2399.2,1846.36,552.84,Credit Card,No,1
ORD-0177,2024-03-02,Mumbai,Female,34,Sports & Fitness,Running Shoes,1,2999,25,2249.25,2249.25,1872.64,376.61,EMI,No,1
ORD-0178,2024-05-06,Chennai,Male,54,Clothing,Shoes,4,1999,25,1499.25,5997.0,958.63,2162.48,Credit Card,No,4
ORD-0179,2023-11-18,Kolkata,Female,65,Home & Kitchen,Mixer Grinder,1,3499,15,2974.15,2974.15,2057.76,916.39,Credit Card,No,5
ORD-0180,2023-08-01,Kolkata,Female,29,Sports & Fitness,Running Shoes,1,2999,25,2249.25,2249.25,1636.48,612.77,Cash,No,3
ORD-0181,2023-12-29,Hyderabad,Female,32,Groceries,Atta (10kg),2,399,15,339.15,678.3,255.95,166.4,UPI,No,2
ORD-0182,2024-05-15,Kolkata,Female,40,Groceries,Tea Powder,3,299,10,269.1,807.3,151.76,352.02,Debit Card,No,3
ORD-0183,2023-03-22,Chennai,Male,52,Groceries,Tea Powder,3,299,25,224.25,672.75,179.24,135.03,UPI,No,3
ORD-0184,2023-05-21,Chennai,Male,60,Electronics,Tablet,1,24999,25,18749.25,18749.25,14183.59,4565.66,EMI,No,2
ORD-0185,2023-02-23,Delhi,Male,18,Electronics,Smartwatch,1,8999,10,8099.1,8099.1,5340.65,2758.45,EMI,No,2
ORD-0186,2024-02-21,Hyderabad,Female,36,Home & Kitchen,Curtains,1,1499,25,1124.25,1124.25,734.35,389.9,Credit Card,No,1
ORD-0187,2023-08-26,Bangalore,Male,43,Sports & Fitness,Yoga Mat,1,799,5,759.05,759.05,426.33,332.72,Cash,No,3
ORD-0188,2023-02-08,Pune,Female,47,Electronics,Headphones,1,2999,20,2399.2,2399.2,1711.1,688.1,EMI,No,2
ORD-0189,2024-05-31,Pune,Male,64,Home & Kitchen,Bed Sheet Set,1,999,5,949.05,949.05,611.15,337.9,Cash,No,2
